id,chain,dept,category,company,brand,date,productsize,productmeasure,purchasequantity,purchaseamount
86246,205,99,9909,104538848,15343,2012-03-02,16,OZ,1,2.49
86246,205,58,5824,108674585,55172,2012-03-02,16,OZ,1,3.29
86246,205,72,7205,103500030,3830,2012-03-06,4.6,OZ,1,3.99
86246,205,55,5558,104154848,5603,2012-03-07,5.8,OZ,1,1.25
86246,205,58,5824,1076401474,304,2012-03-14,12,OZ,1,4.99
86246,205,99,9909,107127979,6732,2012-03-17,7,OZ,2,8.38
86246,205,99,9909,107143070,5072,2012-03-18,22,OZ,1,2.59
86246,205,35,3509,109451494,20153,2012-03-18,75,OZ,2,6.78
86246,205,35,3509,1088596787,5428,2012-03-19,50,OZ,1,2.99
86246,205,35,3504,103700030,4628,2012-03-19,19,OZ,1,1.99
86246,205,35,3509,109451494,20153,2012-03-19,75,OZ,1,3.39
86246,205,99,9909,107143070,5072,2012-03-21,22,OZ,1,2.59
86246,205,99,9909,107127979,6732,2012-03-21,10,OZ,1,3.69
86246,205,35,3504,107261373,17576,2012-03-24,25,OZ,1,1
86246,205,99,9909,107127979,6732,2012-03-25,9.8,OZ,1,3.99
86246,205,51,5122,107142171,14012,2012-03-25,5.5,OZ,1,1.25
86246,205,55,5558,107255474,35506,2012-03-25,36.8,OZ,1,6.49
86246,205,35,3509,103320030,875,2012-03-31,50,OZ,1,5.89
86246,205,35,3504,104815545,14363,2012-04-01,25,OZ,1,1
86246,205,32,3203,104815545,8105,2012-04-01,5,OZ,1,1
86246,205,32,3203,101116616,15266,2012-04-02,6,OZ,1,3.09
86246,205,35,3504,104815545,14363,2012-04-02,25,OZ,1,1
86246,205,35,3509,104116343,8435,2012-04-02,50,OZ,1,4.59
86246,205,99,9909,107127979,6732,2012-04-04,7,OZ,1,4.19
86246,205,32,3203,106414464,13474,2012-04-07,5,OZ,1,3.69
86246,205,35,3504,103500030,13470,2012-04-07,20,OZ,1,3.19
86246,205,35,3504,104113040,28204,2012-04-09,25,OZ,1,0.99
86246,205,35,3509,109451494,20153,2012-04-12,75,OZ,1,3.39
86246,205,99,9909,107127979,6732,2012-04-14,10,OZ,1,3.69
86246,205,35,3509,103320030,875,2012-04-16,50,OZ,1,5.89
86246,205,58,5824,107754171,17301,2012-04-28,16,OZ,1,2.99
86246,205,35,3504,104113040,28204,2012-04-28,25,OZ,1,0.99
86246,205,35,3509,103320030,875,2012-04-29,50,OZ,2,11.78
86246,205,35,3504,104815545,14363,2012-04-29,25,OZ,1,1
86246,205,72,7205,103320030,25445,2012-04-29,7.2,OZ,1,1
86246,205,99,9909,104538848,15343,2012-04-30,16,OZ,2,4.98
86246,205,99,9909,104538848,15343,2012-05-03,16,OZ,1,2.49
86246,205,35,3509,109451494,20153,2012-05-03,75,OZ,1,3.39
86246,205,56,5616,101116616,15266,2012-05-06,8,OZ,1,2.6
86246,205,35,3509,107261373,401,2012-05-14,50,OZ,1,6.59
